P1,P3,P4,P5,P6,P8,P9,P11,P12,P13,P14,P16,P20,P36,Sales_EUR,P1%Change,P3%Change,P4%Change,P5%Change,P6%Change,P8%Change,P9%Change,P11%Change,P12%Change,P13%Change,P14%Change,P16%Change,P20%Change,P36%Change,Sales_EUR%Change,Consumer Price,Sales_CPI
35774028.52089,8016660.766360001,394180.84379,2476569.63929,365908.5156,580778.26534,3190.34612,1012111.7685,28428.15303,27417.105099999997,5718.07,330198.09817,4522.07174,6416.328600000001,49471370.83,,,,,,,,,,,,,,,,99.1,49026128.492529996
5063648.6,11685056.48735,365752.58369999996,8859034.8794,465951.2556,518398.37845,1847.7615,1870362.128,1053.95,67157.3,16873.05,1357028.9052000002,5711.1678999999995,21293.34585,30760578.47,-0.8575924107338063,0.46647523688943227,-0.06646777991057895,2.598929100251443,0.2811659673765734,-0.10197029366333132,-0.41729930544338556,0.8592365540703621,-0.9627000037997192,1.4643878248108697,1.968804159445407,3.134775695822113,0.2706469667816458,2.3388332869984243,-0.37821455209511934,98.5,30299169.79295
37321267.938200004,8605806.49915,423649.44560000004,6843294.7003500005,984480.5996500001,267418.34935000003,0.0,1207730.17,17612.391,15420.3523,0.0,4691086.7901,904.8702499999999,13715.6522,61312068.79000001,6.370430076486746,-0.26352033398670616,0.15829515492223734,-0.2275349636264804,1.1128403192782388,-0.48414508905375997,0.0,-0.3542800338395218,15.710841121495324,-0.7703845702552068,0.0,2.4568805219433583,-0.8415612593003963,-0.35587143999729853,0.9932027237327832,98.5,60392387.75815002
27090400.93795,10459078.71551,473037.88076,8043841.353389999,585099.9957,372627.94655,1452.799,2165414.7299800003,20989.868,26572.729330000002,1647.6128,921269.1746299999,2342.88508,15089.16903,51360149.230000004,-0.2681860067033065,0.22530306968806535,0.12572145851522865,0.18505885674267808,-0.4008099410900363,0.4048368358534258,-0.20731382269843812,0.8076437255020301,0.2015256758721744,0.737334862965485,-0.9015528312901343,-0.8020047648425195,1.6103956893267295,0.10915062063180625,-0.16231583367519897,97.7,50178865.79771001
34132093.42293,9974608.719659999,608251.1958,6748545.221189999,531738.80712,361474.53417,3172.8286799999996,598857.9245999999,33564.65994,32018.496030000002,18831.5703,252867.50424,608.8674599999999,7898.17815,54336933.669999994,0.2547957797549796,-0.050209124299949726,0.28059737547180363,-0.16445042586556147,-0.09490572392427721,-0.03388719170666299,1.1750369872225956,-0.7245718845712716,0.5925684230124744,0.20002507510582457,10.383005218216319,-0.7266418425633936,-0.7411802972427483,-0.4787006803117507,0.057959030194196126,98.1,53304531.930269994
33348950.9944,10874936.40145,484268.93615,11735598.92555,724570.16655,582419.0346,12854.85085,486589.81285,9966.23,11711.65,7422.22125,2224476.9366999995,3319.00675,7262.818699999999,61435886.279999994,-0.026912197541124283,0.08583449512385322,-0.20706713752423667,0.7319201824906816,0.3571094303582527,0.6046880937045569,3.0350897263069374,-0.1907699744748439,-0.7042795005895119,-0.6357077487627392,-0.6074634174294005,7.761282057489254,4.428978828988496,-0.08417803667799018,0.13064691233983639,98.5,60514347.9858
39450162.25794001,12243574.871500002,423664.01196000003,5680175.70512,275909.66928000003,416386.5006000001,9064.9321,1475375.9104000002,21682.390380000004,7443.608760000001,0.0,223154.8886,3597.9122200000006,4254.5685,60598035.44000001,0.1722397995791396,0.11565871338174394,-0.133068449036425,-0.5203699803897139,-0.6226569822742862,-0.29154719027447107,-0.301208909008851,2.0046197791047735,1.1558875271792846,-0.37018166526492846,0.0,-0.9005903959480687,0.07421762549895394,-0.4195027544884191,-0.013637808302811694,99.4,60234447.22736001
38742382.39284,12747749.39928,374168.88372,11344114.56696,314714.85492,297611.61263999995,4595.62368,1061799.6443999999,24370.128,2540.1087600000005,17700.314400000003,352037.73384,935.1444,16837.69872,65563813.36,-0.019913119964972914,0.03908798226357946,-0.11859981013620757,0.9931311649805425,0.13835407870849536,-0.2866867717084679,-0.49405075852691716,-0.2817643902612551,0.12170252328055353,-0.6594382883712979,1.3584353538369665,0.5743810631446771,-0.7406088467605805,2.9496104199521054,0.08194618660396591,99.6,65301558.10656001
39067643.47977001,11534905.73781,190530.42885000003,13668197.280840002,282680.22681,420287.02227,4483.60191,491641.0668000001,44211.424320000006,34814.360790000006,62954.692290000006,367057.95462000003,772.1670600000001,15500.703780000002,66251932.080000006,0.00536727024506467,-0.09785907919639991,-0.49231944807534944,0.20125299889419312,-0.10448670333136623,0.40795883387408405,-0.027305551702614506,-0.5383642575271519,0.8087166911884911,12.664695664448633,2.546018321572864,0.03953537732499357,-0.17676003834274145,-0.08216939992854322,0.010495404167870204,99.9,66185680.14792003
38026310.016899996,13461815.48249,382418.78487999993,11178474.14709,727588.2259699999,368081.20077999996,1771.6991999999998,587405.08442,21382.435439999997,43137.37505,20781.457899999998,267024.53757999995,579.3327999999999,33434.41323,64925427.90999999,-0.030536363235928454,0.16239608575385267,0.9991225933778187,-0.1854160602014847,1.563626703529883,-0.12770735160963165,-0.6064250048461595,0.19001957193702834,-0.5182882739571508,0.23412697160136497,-0.671214647437998,-0.2754287686931154,-0.25272336791989036,1.1483589430930992,-0.020022120538284782,100.3,65120204.19372999
